City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Pauini,BR,-7.7136,-66.9764,85.6,64,65,3.15,broken clouds
116,Mehamn,NO,71.0357,27.8492,37.87,88,100,18.97,overcast clouds
117,Lazarev,RU,52.225,141.5131,7.47,97,56,5.75,broken clouds
118,Zapolyarnyy,RU,69.4154,30.8136,39.2,75,75,16.11,broken clouds
119,Seoul,KR,37.5683,126.9778,55.4,94,90,4.61,light rain
120,Teya,RU,60.3778,92.6267,29.21,94,100,6.93,overcast clouds
121,Talnakh,RU,69.4865,88.3972,15.64,96,100,2.13,overcast clouds
122,Avarua,CK,-21.2078,-159.775,80.6,83,75,8.05,light rain
123,Masty,BY,53.4122,24.5387,55.4,38,0,13.42,clear sky
124,Cap Malheureux,MU,-19.9842,57.6142,82.0,77,32,4.38,scattered clouds
125,Saint-Philippe,RE,-21.3585,55.7679,78.8,89,90,3.44,moderate rain
126,Tautira,PF,-17.7333,-149.15,77.0,88,40,3.44,light rain
127,Isangel,VU,-19.55,169.2667,77.05,88,5,6.17,clear sky
128,Nelson Bay,AU,-32.7167,152.15,64.99,94,25,5.75,scattered clouds
129,Naantali,FI,60.4674,22.0243,48.99,57,0,12.66,clear sky
130,Zaozerne,UA,45.1582,33.2787,48.25,63,32,9.17,scattered clouds
131,Thompson,CA,55.7435,-97.8558,3.2,85,1,3.44,clear sky
132,Sohag,EG,26.557,31.6948,73.4,20,0,21.85,clear sky
133,Suntar,RU,62.1444,117.6319,13.35,93,85,5.19,overcast clouds
134,Kruisfontein,ZA,-34.0033,24.7314,68.0,66,19,10.0,few clouds
135,Casablanca,MA,33.5928,-7.6192,75.2,49,75,9.22,broken clouds
136,Kargil,IN,34.5667,76.1,33.35,57,95,7.38,overcast clouds
137,Zeya,RU,53.75,127.2667,25.92,96,99,3.27,overcast clouds
138,Karratha,AU,-20.7377,116.8463,83.61,66,94,9.15,overcast clouds
139,Virginia Beach,US,36.8529,-75.978,66.99,45,20,12.66,few clouds
140,Nouadhibou,MR,20.931,-17.0347,71.6,64,0,19.57,clear sky
141,Beyneu,KZ,45.3167,55.2,41.22,65,92,16.91,overcast clouds
142,Buala,SB,-8.145,159.5921,80.11,83,24,8.08,light rain
143,Cayenne,GF,4.9333,-52.3333,87.8,66,75,17.27,broken clouds
144,Port Lincoln,AU,-34.7333,135.8667,58.91,75,1,4.29,clear sky
145,Waitati,NZ,-45.75,170.5667,62.01,66,97,8.01,overcast clouds
146,Ocean City,US,39.2776,-74.5746,64.4,45,1,6.91,clear sky
147,Baruun-Urt,MN,46.6806,113.2792,31.82,83,87,30.42,light snow
148,Victoria,HK,22.2855,114.1577,75.0,89,3,2.98,clear sky
149,Clyde River,CA,70.4692,-68.5914,3.2,60,90,8.05,overcast clouds
150,Troitsko-Pechorsk,RU,62.7084,56.1964,26.67,85,32,7.54,scattered clouds
151,Narsaq,GL,60.9167,-46.05,8.6,43,20,1.14,few clouds
152,Port Elizabeth,ZA,-33.918,25.5701,69.8,64,0,25.32,clear sky
153,Alta Floresta,BR,-9.8756,-56.0861,83.44,70,8,2.46,clear sky
154,Qaanaaq,GL,77.484,-69.3632,-6.63,68,100,6.78,overcast clouds
155,Cidreira,BR,-30.1811,-50.2056,78.84,69,96,6.24,light rain
156,Tan An,VN,10.5333,106.4167,82.4,74,20,8.05,few clouds
157,Broome,US,42.2506,-75.833,46.0,87,90,5.75,overcast clouds
158,Bar Harbor,US,44.3876,-68.2039,39.0,75,90,11.5,overcast clouds
159,Sibu,MY,2.3,111.8167,78.8,94,40,2.3,scattered clouds
160,Biltine,TD,14.5333,20.9167,95.34,9,1,16.53,clear sky
161,Zhigansk,RU,66.7697,123.3711,10.98,96,99,5.08,overcast clouds
162,Khrebtovaya,RU,56.7032,104.2494,12.88,97,93,3.36,overcast clouds
163,Kirakira,SB,-10.4544,161.9205,80.26,84,92,8.25,overcast clouds
164,Warman,CA,52.3168,-106.5679,27.0,79,20,5.75,few clouds
165,Azamgarh,IN,26.06,83.1861,81.43,12,0,5.39,clear sky
166,Hami,CN,42.8,93.45,58.35,41,100,7.45,overcast clouds
167,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,40,9.22,scattered clouds
168,Puerto Penasco,MX,31.3167,-113.5333,61.88,44,0,7.92,clear sky
169,Mableton,US,33.8157,-84.5619,70.0,88,90,4.61,overcast clouds
170,Kaeo,NZ,-35.1,173.7833,66.99,84,100,8.01,overcast clouds
171,Kiruna,SE,67.8557,20.2251,37.4,87,90,11.5,overcast clouds
172,Cape Coast,GH,5.1053,-1.2466,84.16,70,59,11.18,broken clouds
173,Flinders,AU,-34.5833,150.8552,63.0,76,37,1.01,scattered clouds
174,Chokurdakh,RU,70.6333,147.9167,-9.99,92,99,5.57,overcast clouds
175,Carnarvon,AU,-24.8667,113.6333,78.8,73,1,10.36,clear sky
176,Vila Velha,BR,-20.3297,-40.2925,88.0,58,20,9.22,few clouds
177,Severo-Kurilsk,RU,50.6789,156.125,26.13,83,100,32.55,light snow
178,Krasnovishersk,RU,60.4078,57.082,25.75,86,13,7.07,few clouds
179,Mahebourg,MU,-20.4081,57.7,77.0,94,40,6.91,light rain
180,Ulaangom,MN,49.9811,92.0667,10.83,82,100,5.26,overcast clouds
181,Zboriste,BA,45.1458,16.0178,63.0,58,0,17.27,clear sky
182,Cherskiy,RU,68.75,161.3,-21.21,99,33,5.37,scattered clouds
183,Helong,CN,42.5397,128.9972,41.43,89,100,3.02,overcast clouds
184,Pangoa,PE,-12.1167,-73.0,77.92,81,48,1.86,scattered clouds
185,Fethiye,TR,36.6217,29.1164,60.8,44,20,11.5,few clouds
186,Aldan,RU,58.6031,125.3894,23.07,96,100,4.5,light snow
