City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
385,Hobyo,SO,81.79,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
387,Joao Pinheiro,BR,83.52,clear sky,-17.7425,-46.1725,Hotel Santos
392,Bengkulu,ID,77.81,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
398,Nhulunbuy,AU,80.6,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
399,Lichinga,MZ,75.2,light rain,-13.3128,35.2406,Residencial Bendiak
401,Yilan,TW,75.0,clear sky,24.756999999999998,121.75299999999999,Dar Chen Hotel
411,Daru,PG,80.69,broken clouds,-9.0763,143.2092,Daru Lodge
412,Soc Trang,VN,80.6,few clouds,9.6033,105.98,Phu Qui Hotel
414,Namatanai,PG,79.3,light rain,-3.6667,152.4333,Namatanai Hotel
425,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
427,Fare,PF,82.76,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
428,Russell,US,77.0,few clouds,32.3502,-85.1999,Macs
431,Monte Alegre,BR,84.52,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
433,Sherghati,IN,75.2,haze,24.5667,84.7833,Mamu Hotal
435,Warri,NG,89.08,light rain,5.5167,5.75,BON Hotel Delta
439,Kampong Thum,KH,85.91,overcast clouds,12.7111,104.8887,Sambor Village Hotel
441,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
442,Touros,BR,84.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
443,Bobon,PH,76.82,few clouds,12.5246,124.5636,Binang and Cadio Resort
445,Boa Vista,BR,87.8,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
448,Witu,KE,86.0,light rain,-2.3889,40.4382,New City Guest House
449,Bambanglipuro,ID,78.39,moderate rain,-7.95,110.2833,Puri Brata
452,Cabedelo,BR,84.2,broken clouds,-6.9811,-34.8339,Hotel Pigalle
454,Bambous Virieux,MU,82.0,light rain,-20.3428,57.7575,Casa Tia Villa
455,Hwange,ZW,86.22,broken clouds,-18.3693,26.5019,Hwange Colliery Guest House
456,Sorong,ID,77.29,overcast clouds,-0.8833,131.25,The Waigo Hotel
459,Sao Felix Do Xingu,BR,85.71,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
